26,5,5,3,1,1,1,2018,4,33678,1500,1,1,2,2,17900
2,5,5,2,2,1,3,2018,4,38000,2700,1,1,2,2,36800
12,5,5,3,1,1,2,2017,4,42397,1200,1,1,2,2,27000
26,5,5,3,1,1,2,2018,4,47000,1500,1,1,2,2,18800
12,4,4,3,1,1,1,2010,4,50800,1200,2,1,2,2,9800
17,4,5,3,2,1,1,2014,3,56000,2000,1,1,2,1,27000
12,4,4,3,1,1,1,2016,4,59998,1800,1,2,2,2,13900
33,4,5,3,2,1,1,2015,4,65000,1200,1,1,2,2,12000
26,4,5,3,1,1,1,2009,4,109435,2400,1,2,2,2,14000
4,5,5,3,1,1,1,2019,3,15000,1400,1,1,2,2,14500
2,5,5,3,1,1,2,2015,3,15610,2500,1,1,2,2,26700
12,5,5,3,1,1,2,2017,3,18000,1500,1,1,2,2,9800
10,4,4,3,1,1,1,2018,4,25000,1200,1,1,2,2,11800
19,5,5,3,1,1,2,2014,2,29000,1600,1,1,2,1,14500
12,4,5,3,1,1,3,2006,4,30000,5600,1,2,1,2,10500
12,4,5,3,2,1,3,2006,4,30000,5600,1,1,2,2,10500
12,4,5,3,1,1,1,2015,2,30000,1600,1,1,2,2,13200
4,4,5,3,2,1,3,2007,2,33000,2900,1,2,2,2,10000
33,4,5,3,2,1,1,2010,4,44500,2000,1,1,2,2,8000
26,4,5,3,1,1,1,2017,8,45000,1400,1,1,2,2,15000
26,5,5,3,1,1,1,2017,4,47900,1500,1,1,2,1,23000
12,5,5,3,1,1,2,2017,2,58000,2000,1,1,2,2,24000
19,5,5,3,1,1,2,2013,2,77000,2400,1,1,2,2,16400
33,5,5,3,2,1,2,2014,4,80000,1500,1,1,2,2,12500
33,5,5,3,2,1,2,2008,2,83000,2000,1,1,2,1,14000
2,5,5,3,2,1,2,1997,2,90000,4500,1,1,1,2,21500
19,4,5,2,2,1,3,2017,4,96000,3500,1,1,2,2,42500
2,4,4,3,2,1,1,1992,4,100000,1800,1,1,2,2,6000
20,5,5,3,1,1,1,2012,3,100000,1100,1,1,2,2,8800
4,5,5,3,1,1,1,2013,1,130000,1800,1,1,2,2,11500
2,4,5,3,1,1,3,2013,3,136000,4000,1,1,2,2,22900
12,4,5,3,2,1,3,2007,2,160000,4000,1,1,2,2,18000
2,4,5,3,2,1,1,1999,5,165000,1600,2,1,1,2,10300
19,4,5,3,1,1,2,2013,4,167000,2000,1,1,2,2,16200
19,4,5,3,1,1,3,2008,4,321000,5400,1,1,2,2,15000
2,4,5,3,1,1,2,2015,3,20000,1800,1,1,2,2,26500
2,5,5,2,1,1,1,2015,2,23000,1500,1,1,2,2,13000
2,4,4,4,1,1,1,1996,4,115000,1500,1,1,2,2,7200
33,4,4,3,1,1,1,2011,4,98000,2000,1,1,2,2,10500
32,4,5,1,2,2,3,2004,4,0,2900,1,2,2,1,16000
31,5,5,1,2,1,1,2013,4,0,2000,1,1,2,1,28000
31,4,5,1,2,1,1,2013,4,0,1600,1,1,2,1,26000
31,4,5,1,1,1,1,2013,4,0,1200,1,1,2,1,17500
31,4,5,1,2,1,1,2013,4,0,1400,1,1,2,1,21000
31,4,5,1,2,1,1,2013,4,0,1400,1,1,2,1,21900
31,4,5,1,1,1,1,2013,2,0,1250,1,1,2,1,17500
31,4,5,1,2,1,1,2013,2,0,1600,1,1,2,1,24900
4,4,5,1,2,1,1,2014,4,0,1500,1,1,2,1,13500
28,4,5,1,2,1,3,2017,4,0,2400,1,1,2,1,23900
8,4,5,2,1,1,1,2010,3,1,3000,1,1,2,1,24800
31,4,5,2,1,1,1,2017,3,1,2000,1,1,2,1,21900
10,4,5,2,2,1,1,2013,2,42,2000,1,1,2,1,32800
35,2,2,2,2,1,3,2013,2,1380,1600,1,1,2,1,18500
35,4,5,2,2,1,1,2012,2,4000,1600,1,1,2,1,21000
9,5,5,2,1,1,2,2019,3,6437,2500,1,1,2,1,28900
9,5,5,2,1,1,2,1993,4,15000,4000,2,1,2,2,7000
5,4,5,2,2,1,1,2013,3,18025,2400,1,1,2,1,19500
35,4,5,1,2,1,1,2016,3,18450,1600,1,1,2,1,12200
8,2,2,2,1,1,1,2009,4,19312,1000,1,2,2,1,13500
31,5,5,1,1,1,1,2012,4,20000,2000,1,1,2,1,26000
10,4,5,2,2,1,1,2014,4,25000,1200,1,1,2,1,13200
10,4,5,2,1,1,1,2008,2,28209,2000,1,1,2,1,16900
32,4,5,2,2,1,1,2008,2,32931,2300,2,1,2,1,19800
9,5,5,2,1,1,2,2012,3,36000,5700,1,1,2,1,46500
35,4,5,2,2,1,3,2012,3,36750,2000,1,1,2,1,29800
10,5,5,2,1,1,1,2014,3,42245,3000,1,1,2,1,24800
35,4,5,2,2,1,2,2014,3,49000,2000,1,1,2,1,19500
9,4,5,2,1,1,2,2013,3,56488,2400,1,1,2,1,16000
35,4,5,2,2,1,1,2006,2,58032,1600,1,1,2,1,14800
10,4,5,2,1,1,1,2010,3,64293,2000,1,1,2,1,14800
5,2,2,2,1,1,1,2011,3,65903,3600,1,1,2,1,24000
9,4,5,2,1,1,2,2014,3,68236,3200,1,1,2,1,37800
32,4,5,2,1,1,1,2010,4,73930,2000,1,1,2,1,14500
5,4,5,2,1,1,1,2011,3,76798,2000,1,1,2,1,15500
9,4,5,2,1,1,2,2011,3,80200,3600,1,1,2,1,32800
35,4,5,2,2,1,1,2003,2,85000,1800,1,1,2,1,8800
35,2,4,2,2,1,1,2003,1,95000,2000,2,1,2,2,11200
